ID,Symptom,Age Group,Diagnoses,Medications,Home Care,Red Flags
symptom_411,shortness of breath,1-3 years,appendicitis; bronchiolitis; meningitis,Ondansetron,avoid allergens; apply moisturizer; frequent handwashing,severe pain; seizures; loss of consciousness
symptom_412,urinary pain,7-12 years,pneumonia; meningitis; functional abdominal pain,Hydrocortisone cream,rest; avoid allergens,projectile vomiting; loss of consciousness
symptom_413,limping,0-3 months,otitis media; asthma,Oral Rehydration Solution,humidifier; increase fluid intake; avoid allergens,lethargy; projectile vomiting
symptom_414,rash,13-18 years,viral infection; sinusitis; dehydration,Ibuprofen; Amoxicillin,cool compresses; apply moisturizer,no urine output >8h; projectile vomiting
symptom_415,nasal congestion,4-6 years,UTI,,avoid allergens,projectile vomiting
symptom_416,nasal congestion,4-12 months,UTI,,avoid allergens; cool compresses; warm saltwater gargle,projectile vomiting; seizures
symptom_417,shortness of breath,13-18 years,pneumonia; bacterial infection,Acetaminophen; Hydrocortisone cream; Ondansetron,apply moisturizer; rest,rash with fever
symptom_418,weight loss,0-3 months,functional abdominal pain,Ibuprofen; Cetirizine,increase fluid intake; warm saltwater gargle; humidifier,seizures; no urine output >8h
symptom_419,rash,7-12 years,allergic reaction; bronchiolitis,Hydrocortisone cream; Oral Rehydration Solution,apply moisturizer,stiff neck; seizures; persistent high fever
symptom_420,fatigue,7-12 years,bacterial infection; gastroenteritis,Acetaminophen; Cetirizine; Ondansetron,frequent handwashing,rash with fever
symptom_421,joint pain,4-12 months,UTI,Cetirizine; Acetaminophen,cool compresses; light clothing; frequent handwashing,stiff neck; loss of consciousness; rash with fever
symptom_422,cough,13-18 years,sinusitis,Hydrocortisone cream; Ibuprofen,frequent handwashing; apply moisturizer; warm saltwater gargle,loss of consciousness; projectile vomiting
symptom_423,chest pain,4-12 months,strep throat; meningitis; eczema,Hydrocortisone cream; Prednisone,cool compresses,persistent high fever; rash with fever; lethargy
symptom_424,constipation,13-18 years,meningitis; bacterial infection; covid-19,Cetirizine; Albuterol inhaler,cool compresses,projectile vomiting; stiff neck; rash with fever
symptom_425,rash,13-18 years,sinusitis,Cetirizine; Albuterol inhaler,warm saltwater gargle; light clothing,difficulty breathing; rash with fever
symptom_426,fever,7-12 years,gastroenteritis; migraine; flu,Oral Rehydration Solution; Hydrocortisone cream,apply moisturizer; frequent handwashing,difficulty breathing
symptom_427,night sweats,0-3 months,viral infection; asthma; appendicitis,Ibuprofen; Amoxicillin,rest; light clothing; frequent handwashing,projectile vomiting; no urine output >8h
symptom_428,night sweats,4-6 years,pneumonia; strep throat; tonsillitis,Cetirizine,warm saltwater gargle,no urine output >8h; persistent high fever; seizures
symptom_429,cough,0-3 months,allergic reaction,Oral Rehydration Solution; Ondansetron,apply moisturizer; cool compresses; avoid allergens,no urine output >8h; severe pain; stiff neck
symptom_430,difficulty swallowing,13-18 years,bacterial infection; flu,Hydrocortisone cream; Cetirizine; Prednisone,light clothing,projectile vomiting; rash with fever; loss of consciousness
symptom_431,wheezing,7-12 years,allergic reaction,,cool compresses; light clothing,difficulty breathing
symptom_432,abdominal pain,13-18 years,UTI,,avoid allergens; warm saltwater gargle,no urine output >8h; persistent high fever; rash with fever
symptom_433,loss of appetite,4-6 years,allergic reaction; dehydration,Cetirizine; Amoxicillin,apply moisturizer; warm saltwater gargle,persistent high fever; lethargy; rash with fever
symptom_434,nasal congestion,7-12 years,tonsillitis,Ibuprofen,rest; cool compresses,no urine output >8h
symptom_435,shortness of breath,1-3 years,flu,Oral Rehydration Solution,rest; avoid allergens; increase fluid intake,difficulty breathing
symptom_436,wheezing,13-18 years,UTI; eczema; meningitis,Prednisone,frequent handwashing; increase fluid intake,loss of consciousness
symptom_437,headache,4-6 years,allergic reaction; pneumonia,,humidifier; apply moisturizer,lethargy; severe pain; stiff neck
symptom_438,ear pain,7-12 years,bronchiolitis,,cool compresses,no urine output >8h
symptom_439,nasal congestion,4-12 months,allergic reaction; gastroenteritis; appendicitis,Albuterol inhaler,warm saltwater gargle; rest,projectile vomiting; difficulty breathing; stiff neck
symptom_440,limping,0-3 months,covid-19,Cetirizine,light clothing; humidifier,lethargy
symptom_441,chest pain,0-3 months,tonsillitis; bronchiolitis; allergic reaction,Oral Rehydration Solution; Amoxicillin,light clothing,difficulty breathing; loss of consciousness; stiff neck
symptom_442,night sweats,7-12 years,eczema,Amoxicillin,apply moisturizer; avoid allergens,projectile vomiting; no urine output >8h
symptom_443,limping,13-18 years,migraine; functional abdominal pain; bronchiolitis,Ibuprofen,rest; light clothing,difficulty breathing; lethargy
symptom_444,joint pain,1-3 years,pneumonia; appendicitis; otitis media,Amoxicillin,avoid allergens; cool compresses,stiff neck; difficulty breathing
symptom_445,joint pain,0-3 months,pneumonia; flu,Ibuprofen; Cetirizine,humidifier; cool compresses,severe pain; lethargy
symptom_446,difficulty swallowing,13-18 years,appendicitis,Ondansetron,warm saltwater gargle,difficulty breathing; seizures
symptom_447,abdominal pain,13-18 years,eczema,Oral Rehydration Solution; Hydrocortisone cream,rest,seizures
symptom_448,fatigue,7-12 years,functional abdominal pain; strep throat,Ibuprofen; Azithromycin,light clothing,seizures; projectile vomiting
symptom_449,headache,4-6 years,tonsillitis; gastroenteritis; covid-19,Hydrocortisone cream; Ondansetron,rest; avoid allergens,projectile vomiting
symptom_450,sleep disturbance,1-3 years,eczema; flu; tonsillitis,Amoxicillin,cool compresses; frequent handwashing,no urine output >8h
symptom_451,rash,0-3 months,otitis media; pneumonia; covid-19,,rest; light clothing,persistent high fever
symptom_452,eye discharge,4-6 years,covid-19; dehydration,Hydrocortisone cream; Oral Rehydration Solution; Albuterol inhaler,rest; increase fluid intake; light clothing,loss of consciousness; stiff neck
symptom_453,seizures,7-12 years,flu; otitis media,Cetirizine; Ondansetron,light clothing,loss of consciousness
symptom_454,joint pain,1-3 years,meningitis; allergic reaction,Hydrocortisone cream; Amoxicillin,increase fluid intake; light clothing,stiff neck
symptom_455,chest pain,13-18 years,flu; sinusitis,Albuterol inhaler,cool compresses; warm saltwater gargle; apply moisturizer,severe pain; stiff neck
symptom_456,chest pain,4-6 years,bronchiolitis; flu,Cetirizine; Albuterol inhaler,avoid allergens; cool compresses; increase fluid intake,stiff neck; severe pain
symptom_457,night sweats,13-18 years,asthma; meningitis; strep throat,,apply moisturizer; frequent handwashing; humidifier,rash with fever
symptom_458,headache,13-18 years,appendicitis,,warm saltwater gargle,rash with fever; seizures; loss of consciousness
symptom_459,weight loss,4-12 months,UTI; otitis media; dehydration,Oral Rehydration Solution,light clothing; apply moisturizer,difficulty breathing
symptom_460,joint pain,13-18 years,UTI; bacterial infection; functional abdominal pain,Oral Rehydration Solution; Cetirizine; Amoxicillin,light clothing,persistent high fever; no urine output >8h
symptom_461,wheezing,13-18 years,bronchiolitis; functional abdominal pain; flu,Cetirizine; Acetaminophen,cool compresses; frequent handwashing,seizures; no urine output >8h; projectile vomiting
symptom_462,abdominal pain,0-3 months,viral infection; eczema; gastroenteritis,Hydrocortisone cream; Amoxicillin,warm saltwater gargle,loss of consciousness; severe pain
symptom_463,chest pain,13-18 years,functional abdominal pain; bronchiolitis,Ibuprofen; Acetaminophen; Azithromycin,apply moisturizer; rest,persistent high fever; severe pain
symptom_464,nasal congestion,7-12 years,allergic reaction; functional abdominal pain,Acetaminophen,light clothing; frequent handwashing,severe pain
symptom_465,constipation,13-18 years,covid-19,Cetirizine; Prednisone,increase fluid intake; warm saltwater gargle,projectile vomiting; rash with fever; loss of consciousness
symptom_466,urinary pain,13-18 years,bronchiolitis; strep throat; meningitis,Ondansetron,avoid allergens,persistent high fever; projectile vomiting; seizures
symptom_467,fatigue,7-12 years,gastroenteritis,Oral Rehydration Solution; Acetaminophen; Albuterol inhaler,cool compresses; rest; avoid allergens,projectile vomiting
symptom_468,vomiting,13-18 years,covid-19; dehydration; asthma,Oral Rehydration Solution,increase fluid intake; avoid allergens,lethargy
symptom_469,fever,0-3 months,tonsillitis; viral infection,Azithromycin,cool compresses; rest; frequent handwashing,rash with fever; lethargy
symptom_470,rash,7-12 years,asthma; viral infection,Acetaminophen; Cetirizine; Amoxicillin,apply moisturizer,rash with fever; projectile vomiting
symptom_471,fatigue,1-3 years,dehydration; appendicitis; UTI,,increase fluid intake,projectile vomiting; severe pain; lethargy
symptom_472,constipation,0-3 months,functional abdominal pain; sinusitis; dehydration,Ibuprofen; Cetirizine; Amoxicillin,warm saltwater gargle; increase fluid intake; cool compresses,no urine output >8h; stiff neck; difficulty breathing
symptom_473,sleep disturbance,13-18 years,sinusitis; asthma,Cetirizine; Oral Rehydration Solution,warm saltwater gargle,difficulty breathing
symptom_474,seizures,4-12 months,eczema; asthma,Oral Rehydration Solution; Acetaminophen; Albuterol inhaler,rest,difficulty breathing; lethargy; loss of consciousness
symptom_475,cough,4-12 months,bacterial infection; tonsillitis,Ondansetron,warm saltwater gargle,severe pain; projectile vomiting
symptom_476,joint pain,1-3 years,tonsillitis; pneumonia,Ibuprofen; Amoxicillin,cool compresses; apply moisturizer,loss of consciousness
symptom_477,rash,4-6 years,gastroenteritis; meningitis,Ondansetron,humidifier,persistent high fever
symptom_478,cough,7-12 years,pneumonia,,apply moisturizer,persistent high fever; no urine output >8h; lethargy
symptom_479,headache,7-12 years,flu,,light clothing; rest; cool compresses,loss of consciousness; rash with fever
symptom_480,cough,0-3 months,migraine; covid-19; eczema,Cetirizine,rest; increase fluid intake,rash with fever; loss of consciousness; lethargy
symptom_481,rash,0-3 months,covid-19; meningitis,,avoid allergens,rash with fever
symptom_482,sore throat,1-3 years,bacterial infection; bronchiolitis,,rest,projectile vomiting; persistent high fever; severe pain
symptom_483,limping,0-3 months,migraine; pneumonia,,warm saltwater gargle,severe pain; projectile vomiting
symptom_484,sore throat,4-12 months,bacterial infection,Oral Rehydration Solution; Ondansetron,increase fluid intake,severe pain; stiff neck
symptom_485,cough,1-3 years,pneumonia; flu; allergic reaction,Hydrocortisone cream; Ibuprofen,apply moisturizer; light clothing; frequent handwashing,persistent high fever
symptom_486,joint pain,13-18 years,bronchiolitis,Ibuprofen; Ondansetron,apply moisturizer; rest; frequent handwashing,lethargy; persistent high fever; no urine output >8h
symptom_487,nasal congestion,4-12 months,asthma; bronchiolitis; eczema,Cetirizine; Ibuprofen,frequent handwashing,no urine output >8h; projectile vomiting
symptom_488,nasal congestion,4-12 months,functional abdominal pain; covid-19; allergic reaction,Cetirizine; Oral Rehydration Solution; Amoxicillin,increase fluid intake; cool compresses,projectile vomiting; seizures
symptom_489,ear pain,13-18 years,pneumonia,Amoxicillin,apply moisturizer,stiff neck; loss of consciousness
symptom_490,shortness of breath,7-12 years,flu,Acetaminophen; Hydrocortisone cream; Amoxicillin,avoid allergens; light clothing; cool compresses,lethargy
symptom_491,wheezing,4-12 months,pneumonia; appendicitis,Cetirizine; Prednisone,frequent handwashing; increase fluid intake; light clothing,seizures; projectile vomiting; loss of consciousness
symptom_492,headache,7-12 years,functional abdominal pain; gastroenteritis; otitis media,Oral Rehydration Solution; Ibuprofen,avoid allergens,stiff neck; loss of consciousness
symptom_493,constipation,0-3 months,dehydration; covid-19; gastroenteritis,Albuterol inhaler,cool compresses; humidifier; increase fluid intake,stiff neck
symptom_494,sore throat,4-6 years,dehydration; asthma; bacterial infection,Ibuprofen,cool compresses; increase fluid intake,rash with fever; lethargy; stiff neck
symptom_495,sore throat,7-12 years,tonsillitis; strep throat,Acetaminophen,rest,lethargy; stiff neck; difficulty breathing
symptom_496,abdominal pain,13-18 years,asthma; covid-19,Oral Rehydration Solution; Acetaminophen,cool compresses; frequent handwashing; rest,persistent high fever; projectile vomiting; rash with fever
symptom_497,fatigue,1-3 years,eczema; allergic reaction,Cetirizine; Hydrocortisone cream,increase fluid intake; rest; humidifier,loss of consciousness; rash with fever
symptom_498,fever,4-12 months,viral infection; strep throat; meningitis,,cool compresses; increase fluid intake; rest,severe pain; loss of consciousness; seizures
symptom_499,joint pain,4-12 months,gastroenteritis; covid-19; functional abdominal pain,,warm saltwater gargle; increase fluid intake,severe pain; no urine output >8h; lethargy
symptom_500,loss of appetite,1-3 years,eczema; dehydration,Cetirizine,apply moisturizer; light clothing; avoid allergens,severe pain; seizures; no urine output >8h
symptom_501,difficulty swallowing,0-3 months,dehydration; viral infection; pneumonia,Ondansetron,rest; frequent handwashing; apply moisturizer,loss of consciousness
symptom_502,chest pain,7-12 years,dehydration; migraine; asthma,,frequent handwashing; cool compresses,seizures
symptom_503,loss of appetite,13-18 years,bronchiolitis,,rest,seizures
symptom_504,seizures,4-12 months,eczema; dehydration,,light clothing; cool compresses; rest,rash with fever; severe pain; no urine output >8h
symptom_505,sleep disturbance,1-3 years,meningitis; otitis media; appendicitis,Ibuprofen; Albuterol inhaler,increase fluid intake; frequent handwashing,difficulty breathing; projectile vomiting
symptom_506,limping,1-3 years,migraine; functional abdominal pain; strep throat,Albuterol inhaler,rest,severe pain; difficulty breathing; lethargy
symptom_507,fatigue,0-3 months,bacterial infection; asthma; tonsillitis,Hydrocortisone cream; Albuterol inhaler,light clothing; frequent handwashing,stiff neck
symptom_508,limping,13-18 years,strep throat,Oral Rehydration Solution,rest; avoid allergens; apply moisturizer,stiff neck; lethargy
symptom_509,cough,0-3 months,allergic reaction; functional abdominal pain,,increase fluid intake,loss of consciousness; stiff neck
symptom_510,shortness of breath,4-6 years,gastroenteritis; pneumonia; allergic reaction,Cetirizine; Albuterol inhaler,increase fluid intake; rest,projectile vomiting; persistent high fever; difficulty breathing
symptom_511,night sweats,0-3 months,gastroenteritis; sinusitis; meningitis,Ibuprofen; Hydrocortisone cream,light clothing; humidifier,difficulty breathing
symptom_512,sore throat,7-12 years,gastroenteritis,Hydrocortisone cream,light clothing; rest,persistent high fever; lethargy
symptom_513,weight loss,13-18 years,migraine,Ibuprofen; Hydrocortisone cream; Azithromycin,humidifier; cool compresses,seizures; difficulty breathing
symptom_514,seizures,0-3 months,dehydration; tonsillitis,Acetaminophen; Hydrocortisone cream,cool compresses; rest; increase fluid intake,lethargy
symptom_515,weight loss,4-6 years,UTI,Amoxicillin,increase fluid intake; humidifier; warm saltwater gargle,stiff neck; persistent high fever; projectile vomiting
symptom_516,sore throat,1-3 years,gastroenteritis; allergic reaction; bronchiolitis,Azithromycin,light clothing; humidifier,seizures; lethargy; severe pain
symptom_517,headache,4-6 years,functional abdominal pain; covid-19,Amoxicillin,frequent handwashing,persistent high fever; loss of consciousness; projectile vomiting
symptom_518,sleep disturbance,7-12 years,sinusitis; functional abdominal pain,Hydrocortisone cream,humidifier,loss of consciousness; severe pain
symptom_519,abdominal pain,4-12 months,strep throat; UTI; sinusitis,,humidifier,loss of consciousness
symptom_520,wheezing,13-18 years,bronchiolitis; meningitis; migraine,Acetaminophen,rest; light clothing,no urine output >8h; lethargy; seizures
symptom_521,loss of appetite,7-12 years,flu,Oral Rehydration Solution; Amoxicillin,humidifier; increase fluid intake; rest,projectile vomiting; no urine output >8h; seizures
symptom_522,fever,0-3 months,gastroenteritis,Cetirizine; Hydrocortisone cream,humidifier; increase fluid intake,rash with fever
symptom_523,sore throat,13-18 years,migraine; flu; meningitis,Hydrocortisone cream; Prednisone,avoid allergens; humidifier,stiff neck; difficulty breathing
symptom_524,night sweats,4-6 years,otitis media,,frequent handwashing; cool compresses,projectile vomiting
symptom_525,ear pain,0-3 months,gastroenteritis,Cetirizine; Prednisone,avoid allergens; light clothing,lethargy; difficulty breathing
symptom_526,wheezing,13-18 years,pneumonia,Oral Rehydration Solution; Hydrocortisone cream; Azithromycin,rest; apply moisturizer,difficulty breathing; rash with fever
symptom_527,loss of appetite,4-12 months,covid-19; sinusitis,Acetaminophen; Ibuprofen; Ondansetron,humidifier,persistent high fever; stiff neck; projectile vomiting
symptom_528,night sweats,13-18 years,bacterial infection; flu,Acetaminophen; Hydrocortisone cream; Albuterol inhaler,rest; light clothing; humidifier,difficulty breathing
symptom_529,headache,4-12 months,migraine; strep throat; UTI,Hydrocortisone cream; Ibuprofen,apply moisturizer; avoid allergens; humidifier,severe pain; seizures; persistent high fever
symptom_530,abdominal pain,4-12 months,migraine; gastroenteritis,Albuterol inhaler,humidifier,stiff neck
symptom_531,constipation,4-6 years,UTI; dehydration,Hydrocortisone cream,humidifier; increase fluid intake,difficulty breathing; persistent high fever
symptom_532,nasal congestion,4-12 months,meningitis; appendicitis; asthma,Oral Rehydration Solution; Hydrocortisone cream; Amoxicillin,humidifier; avoid allergens; apply moisturizer,lethargy; loss of consciousness
symptom_533,night sweats,13-18 years,strep throat; bacterial infection; asthma,Hydrocortisone cream; Ibuprofen,avoid allergens; apply moisturizer,severe pain
symptom_534,joint pain,13-18 years,pneumonia,Oral Rehydration Solution; Cetirizine,humidifier; avoid allergens; apply moisturizer,lethargy; stiff neck
symptom_535,fever,7-12 years,allergic reaction,Hydrocortisone cream; Cetirizine; Albuterol inhaler,increase fluid intake; frequent handwashing; warm saltwater gargle,difficulty breathing; severe pain
symptom_536,sleep disturbance,4-6 years,viral infection,Azithromycin,light clothing; increase fluid intake,stiff neck; rash with fever
symptom_537,weight loss,13-18 years,covid-19; bronchiolitis; pneumonia,Cetirizine; Acetaminophen; Amoxicillin,apply moisturizer; increase fluid intake,stiff neck
symptom_538,headache,13-18 years,bronchiolitis; functional abdominal pain; bacterial infection,Oral Rehydration Solution; Acetaminophen; Ondansetron,frequent handwashing; increase fluid intake,lethargy; stiff neck; persistent high fever
symptom_539,difficulty swallowing,4-6 years,bronchiolitis,Ibuprofen; Oral Rehydration Solution; Albuterol inhaler,apply moisturizer; humidifier,persistent high fever; stiff neck; severe pain
symptom_540,cough,1-3 years,migraine; eczema; functional abdominal pain,,warm saltwater gargle,stiff neck; no urine output >8h; lethargy
symptom_541,diarrhea,7-12 years,asthma; migraine; gastroenteritis,Ibuprofen; Prednisone,avoid allergens,projectile vomiting
symptom_542,vomiting,13-18 years,meningitis; appendicitis,Albuterol inhaler,cool compresses; rest; light clothing,lethargy
symptom_543,chest pain,7-12 years,bacterial infection; allergic reaction; otitis media,Oral Rehydration Solution; Azithromycin,apply moisturizer,persistent high fever; severe pain; no urine output >8h
symptom_544,chest pain,7-12 years,UTI; appendicitis,Azithromycin,rest; avoid allergens,seizures
symptom_545,difficulty swallowing,13-18 years,allergic reaction; pneumonia; bronchiolitis,,humidifier; frequent handwashing,severe pain
symptom_546,vomiting,1-3 years,gastroenteritis,Acetaminophen,avoid allergens,projectile vomiting
symptom_547,fatigue,1-3 years,bronchiolitis,Prednisone,cool compresses; frequent handwashing,no urine output >8h; loss of consciousness
symptom_548,headache,7-12 years,viral infection; strep throat; allergic reaction,Acetaminophen; Oral Rehydration Solution,cool compresses; avoid allergens,stiff neck
symptom_549,ear pain,13-18 years,flu; strep throat; covid-19,Prednisone,rest; warm saltwater gargle,stiff neck; loss of consciousness; difficulty breathing
symptom_550,difficulty swallowing,4-6 years,eczema,Albuterol inhaler,avoid allergens,severe pain; rash with fever; persistent high fever
symptom_551,limping,0-3 months,gastroenteritis,,rest; warm saltwater gargle; avoid allergens,persistent high fever; stiff neck; loss of consciousness
symptom_552,shortness of breath,13-18 years,bronchiolitis; tonsillitis,,warm saltwater gargle; cool compresses,stiff neck; difficulty breathing; no urine output >8h
symptom_553,constipation,1-3 years,functional abdominal pain; bronchiolitis; bacterial infection,,warm saltwater gargle,lethargy; persistent high fever
symptom_554,sore throat,4-12 months,tonsillitis; migraine; strep throat,Ibuprofen,humidifier; frequent handwashing,loss of consciousness; projectile vomiting
symptom_555,shortness of breath,7-12 years,asthma; bronchiolitis,Acetaminophen; Cetirizine,rest; humidifier; increase fluid intake,lethargy
symptom_556,fever,4-12 months,migraine; viral infection; bronchiolitis,Acetaminophen; Amoxicillin,rest; cool compresses,severe pain
symptom_557,joint pain,0-3 months,gastroenteritis,Ondansetron,warm saltwater gargle,stiff neck; lethargy; persistent high fever
symptom_558,vomiting,7-12 years,pneumonia; strep throat; allergic reaction,,humidifier; increase fluid intake; apply moisturizer,seizures; rash with fever
symptom_559,fatigue,4-6 years,viral infection; eczema,Ibuprofen; Albuterol inhaler,warm saltwater gargle,persistent high fever; no urine output >8h
symptom_560,diarrhea,13-18 years,meningitis; bronchiolitis,Acetaminophen; Albuterol inhaler,humidifier; rest,severe pain; no urine output >8h; loss of consciousness
symptom_561,chest pain,4-6 years,eczema; dehydration,Hydrocortisone cream; Oral Rehydration Solution; Azithromycin,avoid allergens,rash with fever; projectile vomiting
symptom_562,sleep disturbance,1-3 years,covid-19; bacterial infection,Ibuprofen; Amoxicillin,warm saltwater gargle; apply moisturizer,loss of consciousness
symptom_563,eye discharge,4-12 months,flu; gastroenteritis; UTI,Amoxicillin,light clothing; warm saltwater gargle; humidifier,difficulty breathing; rash with fever; persistent high fever
symptom_564,fatigue,4-6 years,functional abdominal pain; pneumonia,Ibuprofen; Cetirizine,cool compresses; light clothing; humidifier,severe pain; projectile vomiting; persistent high fever
symptom_565,ear pain,1-3 years,meningitis,Oral Rehydration Solution; Albuterol inhaler,apply moisturizer; humidifier,difficulty breathing; lethargy
symptom_566,eye discharge,4-12 months,strep throat; gastroenteritis,Cetirizine,humidifier,loss of consciousness
symptom_567,wheezing,4-6 years,allergic reaction,Oral Rehydration Solution,frequent handwashing; warm saltwater gargle,rash with fever
symptom_568,wheezing,0-3 months,functional abdominal pain; strep throat,Cetirizine,increase fluid intake,seizures
symptom_569,joint pain,0-3 months,pneumonia; asthma,Oral Rehydration Solution; Prednisone,avoid allergens,no urine output >8h; projectile vomiting
symptom_570,loss of appetite,1-3 years,covid-19; bacterial infection; viral infection,,frequent handwashing; increase fluid intake,persistent high fever; no urine output >8h
symptom_571,sore throat,1-3 years,viral infection; asthma,Oral Rehydration Solution; Acetaminophen; Azithromycin,rest; apply moisturizer; frequent handwashing,rash with fever; seizures; loss of consciousness
symptom_572,diarrhea,4-6 years,UTI; strep throat; flu,Cetirizine; Ibuprofen; Prednisone,light clothing; avoid allergens; increase fluid intake,lethargy; persistent high fever; rash with fever
symptom_573,eye discharge,7-12 years,migraine,Cetirizine; Hydrocortisone cream; Amoxicillin,frequent handwashing; warm saltwater gargle; humidifier,lethargy
symptom_574,joint pain,13-18 years,pneumonia,Azithromycin,apply moisturizer,stiff neck; seizures; lethargy
symptom_575,night sweats,7-12 years,covid-19; allergic reaction,,humidifier; rest; apply moisturizer,rash with fever; severe pain; stiff neck
symptom_576,fatigue,13-18 years,gastroenteritis,Acetaminophen,rest; apply moisturizer,severe pain
symptom_577,shortness of breath,4-12 months,bacterial infection; flu,Oral Rehydration Solution; Amoxicillin,increase fluid intake; apply moisturizer; light clothing,seizures; severe pain
symptom_578,shortness of breath,4-6 years,tonsillitis,Cetirizine; Ibuprofen,light clothing; rest; warm saltwater gargle,loss of consciousness; difficulty breathing
symptom_579,eye discharge,1-3 years,dehydration; bronchiolitis; covid-19,Ibuprofen; Albuterol inhaler,light clothing; warm saltwater gargle,loss of consciousness; seizures; difficulty breathing
symptom_580,shortness of breath,4-6 years,meningitis; asthma; viral infection,Ibuprofen; Albuterol inhaler,increase fluid intake,projectile vomiting; persistent high fever; rash with fever
symptom_581,joint pain,1-3 years,otitis media,,humidifier; rest; light clothing,persistent high fever
symptom_582,difficulty swallowing,13-18 years,tonsillitis,,cool compresses,loss of consciousness; difficulty breathing; severe pain
symptom_583,seizures,7-12 years,flu,Ibuprofen; Prednisone,cool compresses; increase fluid intake,severe pain
symptom_584,seizures,0-3 months,UTI,Cetirizine,increase fluid intake; light clothing; avoid allergens,projectile vomiting
symptom_585,shortness of breath,13-18 years,otitis media,Oral Rehydration Solution; Ibuprofen,increase fluid intake; rest,projectile vomiting
symptom_586,difficulty swallowing,13-18 years,viral infection; allergic reaction,Oral Rehydration Solution; Acetaminophen; Ondansetron,increase fluid intake; frequent handwashing,seizures; loss of consciousness
symptom_587,loss of appetite,4-12 months,eczema,Ibuprofen; Albuterol inhaler,frequent handwashing; increase fluid intake,severe pain
symptom_588,limping,1-3 years,eczema; viral infection,Ondansetron,rest; avoid allergens,difficulty breathing
symptom_589,vomiting,13-18 years,functional abdominal pain; appendicitis; pneumonia,Ondansetron,increase fluid intake,severe pain
symptom_590,cough,13-18 years,tonsillitis,Prednisone,apply moisturizer; increase fluid intake,seizures; projectile vomiting
symptom_591,fever,4-12 months,sinusitis; tonsillitis; migraine,Acetaminophen; Amoxicillin,cool compresses; increase fluid intake; humidifier,seizures; difficulty breathing; persistent high fever
symptom_592,weight loss,4-12 months,meningitis,Cetirizine; Hydrocortisone cream,frequent handwashing; avoid allergens,severe pain; rash with fever; seizures
symptom_593,urinary pain,13-18 years,asthma,Albuterol inhaler,avoid allergens; humidifier,no urine output >8h; stiff neck; loss of consciousness
symptom_594,limping,7-12 years,dehydration; strep throat; flu,Oral Rehydration Solution; Hydrocortisone cream; Albuterol inhaler,avoid allergens,projectile vomiting; loss of consciousness; rash with fever
symptom_595,weight loss,7-12 years,viral infection; strep throat; gastroenteritis,Hydrocortisone cream; Albuterol inhaler,avoid allergens,stiff neck; seizures
symptom_596,cough,4-12 months,allergic reaction,Acetaminophen; Prednisone,avoid allergens; warm saltwater gargle; rest,no urine output >8h; lethargy; stiff neck
symptom_597,fever,7-12 years,flu,Acetaminophen; Oral Rehydration Solution; Ondansetron,apply moisturizer; cool compresses; rest,no urine output >8h; severe pain; rash with fever
symptom_598,vomiting,4-12 months,bacterial infection; otitis media,Cetirizine; Prednisone,increase fluid intake; humidifier,rash with fever; severe pain; loss of consciousness
symptom_599,night sweats,0-3 months,strep throat; UTI,Ibuprofen; Hydrocortisone cream; Albuterol inhaler,frequent handwashing; increase fluid intake,difficulty breathing
symptom_600,urinary pain,13-18 years,viral infection; strep throat; asthma,Hydrocortisone cream; Acetaminophen,increase fluid intake,stiff neck
symptom_601,night sweats,4-6 years,migraine,,apply moisturizer; rest; frequent handwashing,loss of consciousness
symptom_602,night sweats,4-12 months,strep throat,Hydrocortisone cream,increase fluid intake,projectile vomiting; stiff neck
symptom_603,night sweats,4-12 months,pneumonia; otitis media; sinusitis,Hydrocortisone cream; Acetaminophen; Azithromycin,warm saltwater gargle; light clothing; avoid allergens,difficulty breathing
symptom_604,nasal congestion,7-12 years,allergic reaction; migraine,Ibuprofen; Cetirizine; Azithromycin,cool compresses,lethargy; seizures
symptom_605,cough,4-6 years,appendicitis; eczema; migraine,Ibuprofen,increase fluid intake,no urine output >8h
symptom_606,eye discharge,0-3 months,tonsillitis; bronchiolitis; meningitis,Hydrocortisone cream,light clothing,lethargy; rash with fever
symptom_607,fever,1-3 years,UTI; bronchiolitis,Ondansetron,frequent handwashing; light clothing; apply moisturizer,lethargy; seizures; persistent high fever
symptom_608,limping,7-12 years,dehydration,Cetirizine; Hydrocortisone cream; Prednisone,humidifier; rest; apply moisturizer,projectile vomiting
symptom_609,joint pain,0-3 months,eczema; UTI; migraine,Hydrocortisone cream; Ibuprofen; Ondansetron,humidifier; frequent handwashing,rash with fever; persistent high fever; seizures
symptom_610,sleep disturbance,7-12 years,eczema; pneumonia,Amoxicillin,humidifier; light clothing,severe pain; loss of consciousness; projectile vomiting
symptom_611,limping,1-3 years,flu,Hydrocortisone cream; Prednisone,humidifier; increase fluid intake; cool compresses,rash with fever; difficulty breathing; stiff neck
symptom_612,shortness of breath,4-12 months,pneumonia,,warm saltwater gargle,no urine output >8h; difficulty breathing; lethargy
symptom_613,urinary pain,1-3 years,dehydration,Albuterol inhaler,apply moisturizer,no urine output >8h
symptom_614,eye discharge,13-18 years,allergic reaction; dehydration; bronchiolitis,Ibuprofen; Hydrocortisone cream,apply moisturizer,projectile vomiting; persistent high fever; rash with fever
symptom_615,diarrhea,4-6 years,bronchiolitis; otitis media,Acetaminophen; Ibuprofen,warm saltwater gargle,severe pain
